glacier_id,lat,lon
G076279E69376S,-69.376,76.279
G076283E69397S,-69.397,76.283
G076289E69401S,-69.401,76.289
G076301E69360S,-69.36,76.301
G076324E69359S,-69.359,76.324
G076327E69369S,-69.369,76.327
G076329E69355S,-69.355,76.329
G076338E69361S,-69.361,76.338
G076340E69368S,-69.368,76.34
G076725E69201S,-69.201,76.725
G076880E69232S,-69.232,76.88
G077000E69190S,-69.19,77
G077700E68824S,-68.824,77.7
G077702E68826S,-68.826,77.702
G077710E68835S,-68.835,77.71
G077809E68888S,-68.888,77.809
G077827E68814S,-68.814,77.827
G077837E68888S,-68.888,77.837
G077838E68812S,-68.812,77.838
G077855E68807S,-68.807,77.855
G077867E68804S,-68.804,77.867
G077995E68546S,-68.546,77.995
G078158E68524S,-68.524,78.158
G078176E68512S,-68.512,78.176
G092449E65757S,-65.757,92.449
G092549E66546S,-66.546,92.549
G096599E66146S,-66.146,96.599
G097239E66358S,-66.358,97.239
G098765E66425S,-66.425,98.765
G100760E65550S,-65.55,100.76
G103069E65282S,-65.282,103.069
G108400E66673S,-66.673,108.4
G108403E66677S,-66.677,108.403
G108434E66657S,-66.657,108.434
G111106E66002S,-66.002,111.106
G134471E66061S,-66.061,134.471
G139731E66631S,-66.631,139.731
G139924E66681S,-66.681,139.924
G139943E66672S,-66.672,139.943
G140000E66663S,-66.663,140
G140007E66674S,-66.674,140.007
G141329E66830S,-66.83,141.329
G141369E66813S,-66.813,141.369
G141370E66813S,-66.813,141.37
G141372E66788S,-66.788,141.372
G141378E66788S,-66.788,141.378
G141393E66802S,-66.802,141.393
G141400E66814S,-66.814,141.4
G141409E66815S,-66.815,141.409
G141450E66775S,-66.775,141.45
G141458E66770S,-66.77,141.458
G141466E66786S,-66.786,141.466
G141470E66772S,-66.772,141.47
G141477E66789S,-66.789,141.477
G141481E66789S,-66.789,141.481
G141486E66788S,-66.788,141.486
G141488E66786S,-66.786,141.488
G141510E66766S,-66.766,141.51
G141539E66759S,-66.759,141.539
G141549E66762S,-66.762,141.549
G141557E66765S,-66.765,141.557
G141583E66771S,-66.771,141.583
G142632E66979S,-66.979,142.632
G142640E66979S,-66.979,142.64
G142645E66965S,-66.965,142.645
G142646E66980S,-66.98,142.646
G142652E66980S,-66.98,142.652
G142656E66980S,-66.98,142.656
G142662E66977S,-66.977,142.662
G142665E66984S,-66.984,142.665
G142826E66994S,-66.994,142.826
G143061E66940S,-66.94,143.061
G143064E66937S,-66.937,143.064
G143064E66944S,-66.944,143.064
G143118E66910S,-66.91,143.118
G143120E66908S,-66.908,143.12
G143121E66923S,-66.923,143.121
G143255E66872S,-66.872,143.255
G143308E66863S,-66.863,143.308
G143332E66829S,-66.829,143.332
G143333E66832S,-66.832,143.333
G143460E66839S,-66.839,143.46
G143521E66836S,-66.836,143.521
G143545E66845S,-66.845,143.545
G143553E66839S,-66.839,143.553
G155758E69032S,-69.032,155.758
G159485E76771S,-76.771,159.485
G159598E76656S,-76.656,159.598
G159607E76733S,-76.733,159.607
G159628E76732S,-76.732,159.628
G159647E76736S,-76.736,159.647
G159677E76736S,-76.736,159.677
G159777E76712S,-76.712,159.777
G159790E76802S,-76.802,159.79
G159837E76701S,-76.701,159.837
G159840E76638S,-76.638,159.84
G159962E76829S,-76.829,159.962
G159968E76822S,-76.822,159.968
G159981E76834S,-76.834,159.981
G160086E76849S,-76.849,160.086
G160222E77813S,-77.813,160.222
G160225E77553S,-77.553,160.225
G160246E77838S,-77.838,160.246
G160333E77871S,-77.871,160.333
G160336E77901S,-77.901,160.336
G160357E76697S,-76.697,160.357
G160377E77793S,-77.793,160.377
G160387E77919S,-77.919,160.387
G160394E76660S,-76.66,160.394
G160402E77817S,-77.817,160.402
G160407E77858S,-77.858,160.407
G160432E76670S,-76.67,160.432
G160437E77418S,-77.418,160.437
G160442E76646S,-76.646,160.442
G160443E76639S,-76.639,160.443
G160453E76658S,-76.658,160.453
G160455E76682S,-76.682,160.455
G160471E76668S,-76.668,160.471
G160475E77264S,-77.264,160.475
G160482E77294S,-77.294,160.482
G160488E77315S,-77.315,160.488
G160493E77341S,-77.341,160.493
G160497E76659S,-76.659,160.497
G160506E76690S,-76.69,160.506
G160510E77772S,-77.772,160.51
G160520E76711S,-76.711,160.52
